id,char,pinyin,allPinyins,toneNumber,fileName,audio,isPolyphonic,source,recommendedText,note
1,一,yī,yī,yi1,001_yi1.mp3,/audio/hanzi/001_yi1.mp3,false,一年级上册常见字,一,
2,二,èr,èr,er4,002_er4.mp3,/audio/hanzi/002_er4.mp3,false,一年级上册常见字,二,
3,三,sān,sān,san1,003_san1.mp3,/audio/hanzi/003_san1.mp3,false,一年级上册常见字,三,
4,十,shí,shí,shi2,004_shi2.mp3,/audio/hanzi/004_shi2.mp3,false,一年级上册常见字,十,
5,木,mù,mù,mu4,005_mu4.mp3,/audio/hanzi/005_mu4.mp3,false,一年级上册常见字,木,
6,禾,hé,hé,he2,006_he2.mp3,/audio/hanzi/006_he2.mp3,false,一年级上册常见字,禾,
7,上,shàng,shàng,shang4,007_shang4.mp3,/audio/hanzi/007_shang4.mp3,false,一年级上册常见字,上,
8,下,xià,xià,xia4,008_xia4.mp3,/audio/hanzi/008_xia4.mp3,false,一年级上册常见字,下,
9,土,tǔ,tǔ,tu3,009_tu3.mp3,/audio/hanzi/009_tu3.mp3,false,一年级上册常见字,土,
10,个,gè,gè,ge4,010_ge4.mp3,/audio/hanzi/010_ge4.mp3,false,一年级上册常见字,个,
11,八,bā,bā,ba1,011_ba1.mp3,/audio/hanzi/011_ba1.mp3,false,一年级上册常见字,八,
12,入,rù,rù,ru4,012_ru4.mp3,/audio/hanzi/012_ru4.mp3,false,一年级上册常见字,入,
13,大,dà,dà,da4,013_da4.mp3,/audio/hanzi/013_da4.mp3,false,一年级上册常见字,大,
14,天,tiān,tiān,tian1,014_tian1.mp3,/audio/hanzi/014_tian1.mp3,false,一年级上册常见字,天,
15,人,rén,rén,ren2,015_ren2.mp3,/audio/hanzi/015_ren2.mp3,false,一年级上册常见字,人,
16,火,huǒ,huǒ,huo3,016_huo3.mp3,/audio/hanzi/016_huo3.mp3,false,一年级上册常见字,火,
