id,level,char,pinyin,allPinyins
1,1,一,yī,yī
2,1,二,èr,èr
3,1,三,sān,sān
4,2,十,shí,shí
5,2,木,mù,mù
6,2,禾,hé,hé
7,3,上,shàng,shàng
8,3,下,xià,xià
9,3,土,tǔ,tǔ
10,4,个,gè,gè
11,4,八,bā,bā
12,4,入,rù,rù
13,5,大,dà,dà
14,5,天,tiān,tiān
15,5,人,rén,rén
16,6,火,huǒ,huǒ
17,6,文,wén,wén
18,6,六,liù,liù
19,7,七,qī,qī
20,7,儿,ér,ér
21,7,九,jiǔ,jiǔ
22,8,无,wú,wú
23,8,口,kǒu,kǒu
24,8,日,rì,rì
25,9,中,zhōng,zhōng
26,9,了,le,le/liǎo
27,9,子,zǐ,zǐ
28,10,门,mén,mén
29,10,月,yuè,yuè
30,10,不,bù,bù
31,11,开,kāi,kāi
32,11,四,sì,sì
33,11,五,wǔ,wǔ
34,12,目,mù,mù
35,12,耳,ěr,ěr
36,12,头,tóu,tóu
37,13,米,mǐ,mǐ
38,13,见,jiàn,jiàn
39,13,白,bái,bái
40,14,田,tián,tián
41,14,电,diàn,diàn
42,14,也,yě,yě
43,15,长,cháng,cháng/zhǎng
44,15,山,shān,shān
45,15,出,chū,chū
46,16,飞,fēi,fēi
47,16,马,mǎ,mǎ
48,16,鸟,niǎo,niǎo
49,17,云,yún,yún
50,17,公,gōng,gōng
51,17,车,chē,chē
52,18,牛,niú,niú
53,18,羊,yáng,yáng
54,18,小,xiǎo,xiǎo
55,19,少,shǎo,shǎo/shào
56,19,巾,jīn,jīn
57,19,牙,yá,yá
58,20,尺,chǐ,chǐ
59,20,毛,máo,máo
60,20,卜,bǔ,bǔ/bo
61,21,又,yòu,yòu
62,21,心,xīn,xīn
63,21,风,fēng,fēng
64,22,力,lì,lì
65,22,手,shǒu,shǒu
66,22,水,shuǐ,shuǐ
67,23,广,guǎng,guǎng
68,23,升,shēng,shēng
69,23,足,zú,zú
70,24,走,zǒu,zǒu
71,24,方,fāng,fāng
72,24,半,bàn,bàn
73,25,巴,bā,bā
74,25,业,yè,yè
75,25,本,běn,běn
76,26,平,píng,píng
77,26,书,shū,shū
78,26,自,zì,zì
79,27,已,yǐ,yǐ
80,27,东,dōng,dōng
81,27,西,xī,xī
82,28,回,huí,huí
83,28,片,piàn,piàn
84,28,皮,pí,pí
85,29,生,shēng,shēng
86,29,里,lǐ,lǐ
87,29,果,guǒ,guǒ
88,30,几,jǐ,jǐ
89,30,用,yòng,yòng
90,30,鱼,yú,yú
91,31,今,jīn,jīn
92,31,正,zhèng,zhèng/zhēng
93,31,雨,yǔ,yǔ
94,32,两,liǎng,liǎng
95,32,瓜,guā,guā
96,32,衣,yī,yī
97,33,来,lái,lái
98,33,年,nián,nián
99,33,左,zuǒ,zuǒ
100,34,右,yòu,yòu
101,34,万,wàn,wàn
102,34,丁,dīng,dīng
103,35,冬,dōng,dōng
104,35,百,bǎi,bǎi
105,35,齐,qí,qí
106,36,说,shuō,shuō
107,36,话,huà,huà
108,36,朋,péng,péng
109,37,友,yǒu,yǒu
110,37,春,chūn,chūn
111,37,高,gāo,gāo
112,38,你,nǐ,nǐ
113,38,们,men,men
114,38,红,hóng,hóng
115,39,绿,lǜ,lǜ
116,39,花,huā,huā
117,39,草,cǎo,cǎo
118,40,爷,yé,yé
119,40,节,jié,jié
120,40,岁,suì,suì
121,41,亲,qīn,qīn
122,41,的,de,de/dí/dì
123,41,行,xíng,xíng/háng/héng
124,42,古,gǔ,gǔ
125,42,声,shēng,shēng
126,42,多,duō,duō
127,43,处,chù,chù/chǔ
128,43,知,zhī,zhī
129,43,忙,máng,máng
130,44,洗,xǐ,xǐ
131,44,认,rèn,rèn
132,44,扫,sǎo,sǎo
133,45,真,zhēn,zhēn
134,45,父,fù,fù
135,45,母,mǔ,mǔ
136,46,爸,bà,bà
137,46,全,quán,quán
138,46,关,guān,guān
139,47,写,xiě,xiě
140,47,完,wán,wán
141,47,家,jiā,jiā
142,48,看,kàn,kàn
143,48,着,zhe,zhe/zháo/zhuó/zhāo
144,48,画,huà,huà
145,49,笑,xiào,xiào
146,49,兴,xìng,xìng/xīng
147,49,会,huì,huì
148,50,妈,mā,mā
149,50,奶,nǎi,nǎi
150,50,午,wǔ,wǔ
151,51,合,hé,hé
152,51,放,fàng,fàng
153,51,收,shōu,shōu
154,52,女,nǚ,nǚ
155,52,太,tài,tài
156,52,气,qì,qì
157,53,早,zǎo,zǎo
158,53,去,qù,qù
159,53,亮,liàng,liàng
160,54,和,hé,hé/hè/huó/huò/hú
161,54,语,yǔ,yǔ
162,54,千,qiān,qiān
163,55,李,lǐ,lǐ
164,55,秀,xiù,xiù
165,55,香,xiāng,xiāng
166,56,听,tīng,tīng
167,56,唱,chàng,chàng
168,56,连,lián,lián
169,57,远,yuǎn,yuǎn
170,57,定,dìng,dìng
171,57,向,xiàng,xiàng
172,58,以,yǐ,yǐ
173,58,后,hòu,hòu
174,58,更,gèng,gèng/gēng
175,59,主,zhǔ,zhǔ
176,59,意,yì,yì
177,59,总,zǒng,zǒng
178,60,先,xiān,xiān
179,60,干,gān,gān/gàn
180,60,赶,gǎn,gǎn
181,61,起,qǐ,qǐ
182,61,明,míng,míng
183,61,净,jìng,jìng
184,62,同,tóng,tóng
185,62,工,gōng,gōng
186,62,专,zhuān,zhuān
187,63,才,cái,cái
188,63,级,jí,jí
189,63,队,duì,duì
190,64,蚂,mǎ,mǎ
191,64,蚁,yǐ,yǐ
192,64,前,qián,qián
193,65,空,kōng,kōng/kòng
194,65,房,fáng,fáng
195,65,网,wǎng,wǎng
196,66,诗,shī,shī
197,66,林,lín,lín
198,66,童,tóng,tóng
199,67,黄,huáng,huáng
200,67,闭,bì,bì
201,67,立,lì,lì
202,68,是,shì,shì
203,68,朵,duǒ,duǒ
204,68,美,měi,měi
205,69,我,wǒ,wǒ
206,69,叶,yè,yè
207,69,机,jī,jī
208,70,她,tā,tā
209,70,他,tā,tā
210,70,送,sòng,sòng
211,71,过,guò,guò
212,71,时,shí,shí
213,71,让,ràng,ràng
214,72,吗,ma,ma
215,72,吧,ba,ba
216,72,虫,chóng,chóng
217,73,往,wǎng,wǎng
218,73,得,dé,dé/de/děi
219,73,很,hěn,hěn
220,74,河,hé,hé
221,74,姐,jiě,jiě
222,74,借,jiè,jiè
223,75,呢,ne,ne/ní
224,75,呀,ya,ya
225,75,哪,nǎ,nǎ/na/něi
226,76,谁,shuí,shuí/shéi
